start	target	type
Joichi Ito	.net 2000	jurymember in
Digital Musics 2002	Iancu Dumitrescu	awarded
Norman Filz	cybergeneration-u19 freestyle computing 2000	jurymember in
Interactive Art 1998	Christoph Ebener	awarded
Computer Animation/Visual Effects 2006	Shuhei Morita	awarded
Interactive Art 2006	Ryota Kimura	awarded
Digital Communities 2005	NewGlobalVision	awarded
Computer Music 1988	Udo Hanten	awarded
Computer Animation 1988	Achim Stösser	awarded
Interactive Art 2004	Jaap Blonk	awarded
Interactive Art 2006	Matt Donovan	awarded
Hybrid Art 2009		awarded
Computer Animation / VFX / Film 2007	Mikitaka Kurasawa	awarded
Derrick de Kerckhove	.net 1997	jurymember in
Zelko Wiener	Computer Animation 1988	jurymember in
Interactive Art 1991	Benoît Maubrey	awarded
.net 1998	Susan Meiselas	awarded
.net 1999	PhaseX	awarded
Digital Communities 2005	Steven Clift	awarded
Jim O'Rourke	Digital Musics 1999	jurymember in
u19 - freestyle computing 2007	Nadine Roiß	awarded
Computer Graphics 1992	Mark Wilson	awarded
Interactive Art 2009	Hannes Koch	awarded
Danny O´Brien	Statment of the Digital Communities 2008	jurymember in
Steven Clift	Digital Communities 2006	jurymember in
Computer Graphics 1990	Stanislaw Sasak	awarded
Computer Animation 1993	Pascal Roulin	awarded
Digital Musics 2004	Domenico Sciajno	awarded
Zelko Wiener	Computer Graphics 1988	jurymember in
Sonia Cillari	Interactive Art 2008	jurymember in
Net Vision / Net Excellence 2001	Peter Lee	awarded
Computer Animation 1992	Jérôme Estienne	awarded
Net Vision 2006	René Bauer	awarded
Interactive Art 1995	Franz Fischnaller	awarded
Interactive Art 1991	Mark Madel	awarded
Interactive Art 2001	Marnix de Nijs	awarded
Computer Animation/VFX/Film 2008		awarded
Interactive Art 2004	Marc Downie	awarded
Computer Animation / Visual Effects 1999	Christian Sawade-Meyer	awarded
Jürgen Hagler	Computer Animation / Film / VFX 2009	jurymember in
Joshua Davis	Net Vision / Net Excellence 2003	jurymember in
David Rokeby	Interactive Art 1992	jurymember in
Franz Manola	World Wide Web 1995	jurymember in
u19 - freestyle computing 2006	Irene Kriechbaum	awarded
Digital Musics 2007	Roderik de Man	awarded
Net Vision / Net Excellence 2003	Sulake Labs Oy	awarded
u19 - freestyle computing 2007	Lorenz Hammel	awarded
Computer Animation 1990	Paul Coudsi	awarded
Computer Animation 1989	Jasdan Joerges	awarded
Alfred Nemeczek	Computer Graphics 1989	jurymember in
Computer Graphics 1994	Ronaldo Kiel	awarded
John Landsdown	Computer Animation 1990	jurymember in
A. J. Mitchell	Computer Animation 1993	jurymember in
Computer Music 1987	Franz Peter Cibulka	awarded
Roy Ascott	Interactive Art 1995	jurymember in
Hong Feng	Digital Communities 2005	jurymember in
Interactive Art 1997	Jon Berge	awarded
cybergeneration-u19 freestyle computing 2001	Michael Payer	awarded
u19 - freestyle computing 2007	Christof Sirk	awarded
Interactive Art 2003	Ross Cooper	awarded
Digital Musics 2006	Liftman	awarded
[the next idea] Art and Technology Grant 2009	Open_Sailing_Crew	awarded
Oswald Oberhuber	Computer Graphics 1988	jurymember in
Interactive Art 2005	Ieva Auzina	awarded
Computer Animation / VFX / Film 2007	Moto Sakakibara	awarded
Tina Auer	[the next idea] Art and Technology Grant 2007	jurymember in
Digital Musics 2002	Mika Taanila	awarded
Digital Musics 2008	Christina Kubisch	awarded
Computer Animation 1997	Larry Lamb	awarded
[the next idea] Art- and Technology Grant 2004	Takehisa Mashimo	awarded
Horst Hörtner	[the next idea] Art and Technology Grant 2007	jurymember in
Digital Musics 2008	Martin Kaltenbrunner	awarded
Digital Communities 2005	MicroRevolt	awarded
Alex Adriaansens	Interactive Art 2002	jurymember in
Computer Animation 1989	William Latham	awarded
Computer Graphics 1991	Patrizia Pio	awarded
u19 - freestyle computing 2007	Christoph Bichler	awarded
Interactive Art 1997	Bill Barminski	awarded
Computer Animation / Visual Effects 2001	One Infinity	awarded
Computer Animation / VFX / Film 2007	Jonathan Vuillemin	awarded
Digital Musics 2006	Ekkehard Ehlers	awarded
Computer Animation 1997	Raquel Coelho	awarded
Computer Animation 1993	Jos Claesen	awarded
.net 1998	E-Lab	awarded
Angelika Plank	u19 – freestyle computing 2009	jurymember in
World Wide Web 1995	Konrad Becker	awarded
Computer Animation / Visual Effects 2000	Scott Smith	awarded
Computer Music 1992	Peter E. Vaughan	awarded
.net 2000	Peter Mühlfriedel	awarded
cybergeneration-u19 freestyle computing 2002	Stephan Bergmann	awarded
Computer Animation / Visual Effects 1998	Mark Dippé	awarded
Computer Music 1993	Erik Mikael Karlsson	awarded
Hybrid Art 2009	Gideon Obarzanek	awarded
cybergeneration-u19 freestyle computing 2002	Raphael Murr	awarded
Christa Sommerer	Interactive Art 2002	jurymember in
Digital Musics 2006	Touch	awarded
u19 – freestyle computing 2009	Maximilian Zinner	awarded
Digital Musics 2008	Günter Geiger	awarded
Digital Communities 2005	Alexandre Heboyan	awarded
Computer Animation / Visual Effects 2004	Takashi Yamazaki	awarded
cybergeneration-u19 freestyle computing 2001	Thomas Winkler	awarded
Interactive Art 2005	Sarai Media Lab	awarded
Computer Graphics 1990	Char Davies	awarded
Computer Animation 1989	Peter Weibel	awarded
u19-freestyle computing 2005	Markus Sucher	awarded
Interactive Art 1999	Karl Heinz Jeron	awarded
Digital Communities 2004	DjurslandS.net	awarded
Lisa Fisher	Computer Animation 1996	jurymember in
Computer Graphics 1990	Don P. Miller	awarded
Interactive Art 2004	Mark B. N. Hansen	awarded
Interactive Art 2008	Hiroshi Homura	awarded
Computer Music 1997	Patrick Ascione	awarded
Rolf Herken	Computer Graphics 1992	jurymember in
Yumi Yamaguchi	Net Vision 2004	jurymember in
Computer Animation / Visual Effects 1999	Barnet Bain	awarded
Net Vision / Net Excellence 2003	Lola Brine	awarded
Loren Carpenter	Computer Graphics 1988	jurymember in
Joachim Baur	Hybrid Art 2009	jurymember in
Computer Music 1992	Kristi Allik	awarded
Computer Animation / Visual Effects 2004	Luc Froehlicher	awarded
Interactive Art 2008	Willy Sengewald	awarded
Kodwo Eshun	Digital Musics 1999	jurymember in
Interactive Art 2008	Theodore Watson	awarded
Interactive Art 1990	Richard Greene	awarded
Interactive Art 1994	Transit	awarded
Computer Music 1998	Ambrose Field	awarded
Daniela Pühringer	[the next idea] Art and Technology Grant 2007	jurymember in
Computer Animation / Visual Effects 2004	Paul Debevec	awarded
Digital Musics 2009	Volkmar Klien	awarded
Digital Communities 2004	Télécentre Communautaire Polyvalent de Tombouctou	awarded
Hybrid Art 2007	Zbigniew Oksiuta	awarded
Computer Animation / Visual Effects 2001	Jeremy Solterbeck	awarded
Computer Animation / Visual Effects 2004	Max Stolzenberg	awarded
Interactive Art 1992	Wolfgang Strauss	awarded
Interactive Art 2000	Laurent Hart	awarded
Marleen Stikker	.net 1999	jurymember in
Olivier Cauwet	Computer Animation / Visual Effects 2003	jurymember in
cybergeneration-u19 freestyle computing 2000	Marlene Maier	awarded
Rick Sayre	Computer Animation/Visual Effects 2006	jurymember in
Boo Wong	Computer Animation / VFX / Film 2007	jurymember in
Computer Animation / Visual Effects 1999	Manu Horrillo Fernandes	awarded
Machiko Kusahara	Interactive Art 1997	jurymember in
Computer Animation/Visual Effects 2005	Tomek Baginski	awarded
Digital Musics 2000	Gescom	awarded
Interactive Art 2006	Alvaro Cassinelli	awarded
Computer Animation 1996	Marc Caro	awarded
Computer Animation / Visual Effects 2004	Heidi Wittlinger	awarded
Net Vision 2004	Didier Silhol	awarded
Interactive Art 1993	David Rokeby	awarded
Digital Musics 2006	Katharina Klement	awarded
Interactive Art 1991	David Rokeby	awarded
Hybrid Art 2007	Brian Lee Yung Rowe	awarded
Sabine Hirtes	Computer Animation/Visual Effects 2006	jurymember in
Interactive Art 2009	Sven König	awarded
Interactive Art 1998	Rachel Strickland	awarded
cybergeneration-u19 freestyle computing 1999	Markus Strahlhofer	awarded
Interactive Art 2007	Yuichi Ito	awarded
Digital Musics 2009	Lucas Fagin	awarded
Yukiko Shikata	Net Vision / Net Excellence 2003	jurymember in
Computer Animation 1987	Benny B. Weiler	awarded
Computer Graphics 1989	Lizanne Merrill	awarded
Dieter Kaufmann	Computer Music 1988	jurymember in
Computer Animation/Visual Effects 2005	Passion Pictures	awarded
Interactive Art 2002	Autorenwerkstatt MEET	awarded
Pamela Winfrey	Interactive Art 2006	jurymember in
Computer Animation / Visual Effects 2000	Ray Giarratana	awarded
Net Vision 2006	Michael Aschauer	awarded
cybergeneration-u19 freestyle computing 2002	Milo Thesselaar	awarded
Digital Musics 2006	Geert-Jan Hobijn	awarded
Hybrid Art 2009	Steve Lambert	awarded
u19 - freestyle computing 2007	Katharina Pupeter	awarded
Computer Music 1994	Michael Vaughan	awarded
Computer Animation / Visual Effects 1998	Violet Suk	awarded
Interactive Art 1997	Die Veteranen	awarded
Computer Music 1988	Denis Smalley	awarded
Scott DeLahunta	Hybrid Art 2007	jurymember in
Computer Animation / Visual Effects 2003	Thorsten Fleisch	awarded
cybergeneration-u19 freestyle computing 2000	Erich Hanschitz	awarded
Computer Animation / Visual Effects 1999	Tohru Patrick Awa	awarded
Net Vision 2005	Rainer Mandl	awarded
Christopher Salter	Media.Art.Research Award 2009	jurymember in
Computer Animation 1987	Charlie Gunn	awarded
Roger Frank Malina	Computer Animation 1989	jurymember in
Interactive Art 2008	Soomi Park	awarded
Computer Animation 1997	Anna Henckel-Donnersmarck	awarded
Interactive Art 1998	Scott Sona Snibbe	awarded
Computer Animation 1997	Carlos Saldanha	awarded
Interactive Art 1996	Stahl Stenslie	awarded
Sabine Breitsameter	Digital Musics 2008	jurymember in
Computer Music 1997	James Dashow	awarded
Interactive Art 1999	Luc Courchesne	awarded
Net Vision / Net Excellence 2001	Frank Lantz	awarded
Computer Graphics 1993	Roman Verostko	awarded
cybergeneration-u19 freestyle computing 2000	Gerhard Schwoiger	awarded
cybergeneration-u19 freestyle computing 1998	Leonhard Huber	awarded
Computer Music 1990	Åke Parmerud	awarded
.net 1997	Gordon Selley	awarded
Interactive Art 1998	Tamás Waliczky	awarded
Digital Musics 1999	Stephen Connolly	awarded
Philippe Quéau	Computer Animation 1993	jurymember in
Digital Communities 2006	Arduino	awarded
Net Vision / Net Excellence 2003	James Paterson	awarded
.net 1998	Knowbotic Research	awarded
Net Vision 2006	Christoph Wachter	awarded
cybergeneration-u19 freestyle computing 2003	Borg 3 Wien	awarded
.net 1998	Bruce Damer	awarded
Kathy Rae Huffman	Digital Communities 2007	jurymember in
Digital Musics 2001	Janek Schaefer	awarded
Digital Musics 2006	Yannis Kyriakides	awarded
Sirikit Amann	u19-freestyle computing 2004	jurymember in
u19 - freestyle computing 2007	Manuel Salzmann	awarded
Computer Animation / Visual Effects 1998	Dennis Muren	awarded
Computer Animation 1987	Hartmut Jürgens	awarded
Computer Animation / Visual Effects 1999	Craig Hayes	awarded
u19 - freestyle computing 2008	Nana Susanne Thurner	awarded
Computer Graphics 1991	Brian T. Sullan	awarded
Interactive Art 2006	Techart Group	awarded
Computer Music 1995	Erik Mikael Karlsson	awarded
Rebecca Allen	Computer Animation 1991	jurymember in
Interactive Art 1992	Peter Bosch	awarded
Net Vision / Net Excellence 2003	LeCielEstBleu	awarded
Computer Graphics 1988	Irene Hohenbüchler	awarded
Trevor Wishart	Computer Music 1994	jurymember in
Computer Animation / Visual Effects 2000	Jean François Bourrel	awarded
Computer Music 1994	Frances White	awarded
Interactive Art 2001	Herwig Weiser	awarded
Computer Animation / Visual Effects 1999	Ralph Jones	awarded
Rebecca Allen	Computer Graphics 1991	jurymember in
Interactive Art 2005	Raqs Media Collective	awarded
Werner Vollert	Computer Music 1998	jurymember in
Computer Animation 1991	Nancy Kato	awarded
Computer Animation 1994	Marc Caro	awarded
Net Vision 2005	Alessandro Ludovico	awarded
Digital Musics 2003	Oren Ambarchi	awarded
Interactive Art 2002	Horace Ip	awarded
u19 - freestyle computing 2007	Verena Roidinger	awarded
Computer Animation/VFX/Film 2008	Dr. Stanley Sessions	awarded
Digital Communities 2006	Stefan Eibelwimmer	awarded
Christopher Lindinger	u19 - freestyle computing 2008	jurymember in
Computer Animation / Visual Effects 1999	Seiji Shiota	awarded
Digital Musics 2008	Ymg	awarded
Hybrid Art 2009	robotlab	awarded
u19 - freestyle computing 2006	Katharina Greul	awarded
Computer Music 1998	Adrian Moore	awarded
Computer Music 1995	Jack Tamul	awarded
Interactive Art 2004	Daniel Sauter	awarded
Computer Graphics 1991	Arthur Schmidt	awarded
Dieter Kaufmann	Computer Music 1990	jurymember in
Computer Music 1993	Roberto Doati	awarded
Interactive Art 2009	Smith & Foulkes	awarded
Computer Animation 1988	Enrique Fontanilles	awarded
Computer Animation 1989	Flavia Alman	awarded
Computer Music 1997	Alejandro Viñao	awarded
Computer Animation 1987	Rolf Herken	awarded
Joshua Davis	Net Vision / Net Excellence 2002	jurymember in
cybergeneration-u19 freestyle computing 2002	Georg Gruber	awarded
Interactive Art 2003	George Legrady	awarded
Interactive Art 1993	Akke Wagenaar	awarded
Computer Graphics 1989	Richard Voss	awarded
Computer Animation 1995	Bob Sabiston	awarded
Paolo Calcagno	Computer Graphics 1989	jurymember in
Media.Art.Research Award 2007	Thomas Dreher	awarded
Computer Animation / Visual Effects 1999	Paul Kaiser	awarded
Mark Dippé	Computer Animation 1995	jurymember in
Interactive Art 1996		awarded
Florian Brody	Interactive Art 1993	jurymember in
Digital Communities 2004	DakNet	awarded
u19 – freestyle computing 2009	Thomas Niedermaier	awarded
u19 – freestyle computing 2009	Franz Fellinger	awarded
Digital Musics 1999	[The User]	awarded
Interactive Art 2005	Michelle Teran	awarded
Computer Music 1994	Akemi Ishijima	awarded
Interactive Art 1993	Paul Sermon	awarded
Barbara Robertson	Computer Animation / Visual Effects 1998	jurymember in
Hybrid Art 2007	Beatriz da Costa	awarded
Paolo Calcagno	Computer Graphics 1990	jurymember in
Net Vision / Net Excellence 2003	Shinya Yamamoto	awarded
u19 - freestyle computing 2006	Dominik Amschl	awarded
Net Vision / Net Excellence 2001	Game Lab	awarded
etoy.ZAI	cybergeneration-u19 freestyle computing 1999	jurymember in
Digital Musics 2009	Christoph Korn	awarded
Computer Animation / Visual Effects 2001	Sébastien Ebzant	awarded
Interactive Art 2001	Keiko Takahashi	awarded
Digital Musics 1999	Ikue Mori	awarded
Interactive Art 2002	Volker Morawe	awarded
Interactive Art 1996	Kate Pendry	awarded
Net Vision 2004	Nicolas Clauss	awarded
Horst Hörtner	cybergeneration-u19 freestyle computing 2000	jurymember in
Hybrid Art 2009	Nick Ryan	awarded
.net 1998	Wendy Vissar	awarded
Computer Animation 1993	Bériou	awarded
William Buxton	Interactive Art 1991	jurymember in
Computer Music 1998	Joshua Fineberg	awarded
Perry Hoberman	Interactive Art 1996	jurymember in
Computer Animation/VFX/Film 2008	tEnt	awarded
James Duesing	Computer Animation / Visual Effects 2000	jurymember in
Michey McGovern	Computer Animation 1997	jurymember in
Interactive Art 2004	Paul Kaiser	awarded
Computer Animation 1991	Eduard Oleschak	awarded
Gerfried Stocker	Interactive Art 1997	jurymember in
Computer Animation 1987	Michäel Gaumnitz	awarded
Joichi Ito	World Wide Web 1996	jurymember in
Interactive Art 2003	Hiroaki Nakano	awarded
Computeranimation / Visual Effects 2002	Peter McDonald	awarded
Interactive Art 2009	Chris O'Shea	awarded
Tina Auer	cybergeneration-u19 freestyle computing 2003	jurymember in
Computer Animation/Visual Effects 2006	Yamatoworks	awarded
Digital Musics 2004	Horacio Vaggione	awarded
Computer Music 1994	Michel Redolfi	awarded
cybergeneration-u19 freestyle computing 1998	Doris Mätzler	awarded
Computer Animation / Visual Effects 2000	Steve Katz	awarded
Interactive Art 2006	Paul DeMarinis	awarded
Computer Animation/VFX/Film 2008		awarded
Interactive Art 2007	Yoshimasa Kato	awarded
Interactive Art 1994	Friedrich Förster	awarded
Net Vision / Net Excellence 2001	Gino Esposto	awarded
Hybrid Art 2009	Ákos Maróy	awarded
Yukiko Shikata	Net Vision 2006	jurymember in
Digital Musics 2001	Kevin Blechdom	awarded
Digital Musics 2004	Antye Greie	awarded
.net 1999	Christa Sommerer	awarded
Interactive Art 1998	Lisa Prah	awarded
Net Vision 2004	Michael Frumin	awarded
Interactive Art 2004	Ken Rinaldo	awarded
Digital Musics 2006	Ambrose Field	awarded
Computer Animation/Visual Effects 2006	Marco Spier	awarded
Digital Musics 2006	Yvonne Cornelius (Niobe)	awarded
Digital Musics 2005	Jimmy Lakatos	awarded
Computer Animation / Visual Effects 2001	Pierre Marteel	awarded
cybergeneration-u19 freestyle computing 2002	Manuel Fallmann	awarded
Ingvar Sjöberg	Interactive Art 2006	jurymember in
Net Vision 2004	Jean-Jacques Birgé	awarded
cybergeneration-u19 freestyle computing 1998	Alexander Kvasnicka	awarded
Interactive Art 1990	Stuart Bender	awarded
Interactive Art 2004	Barbara Musil	awarded
Hybrid Art 2009	Paula Levis	awarded
Computer Music 1987	James Harley	awarded
Computer Music 1992	David E. Jones	awarded
Masaki Fujihata	Interactive Art 2000	jurymember in
Interactive Art 2002	Jörg Lehner	awarded
Digital Musics 2005	Maryanne Amacher	awarded
Hybrid Art 2007	The Art and Science Collaborative Research Laboratory, University of Western Australia, Perth (represented by its co-founder and Artistic Director Oron Catts)	awarded
Computer Animation 1997	Lionel Richerand	awarded
Computer Animation / Visual Effects 1998	Pascal Roulin	awarded
Digital Musics 2004	Ken Furudate	awarded
Computer Animation/VFX/Film 2008	Martin Riches	awarded
Matt Mullican	Computer Graphics 1994	jurymember in
Computer Graphics 1994	Mogens Jacobsen	awarded
Gerlinde Lang	u19 - freestyle computing 2006	jurymember in
Net Vision 2005	Yugo Nakamura	awarded
Computer Animation / Visual Effects 2004	Richard James	awarded
Pamela Z	Digital Musics 2009	jurymember in
Computer Animation 1995	Jon McCormack	awarded
u19-freestyle computing 2005	Ondrej Pokorny	awarded
Interactive Art 2006	Eyebeam OpenLab	awarded
Hybrid Art 2009	Thomas Traxler	awarded
Net Vision 2006	Mathias Jud	awarded
Computer Animation / Visual Effects 2000	Alexander Szadeczky	awarded
Anezka Sebek	Computer Animation/VFX/Film 2008	jurymember in
Computer Music 1988	Mia Zabelka	awarded
Interactive Art 1995	William Seaman	awarded
Interactive Art 2002	Joris Gruber	awarded
Computer Animation / Visual Effects 2000	Lisa Slates	awarded
David Sasaki	Digital Communities 2009	jurymember in
u19 - freestyle computing 2007	Alexander Kastler	awarded
Computer Animation/Visual Effects 2005	Achim Stiermann	awarded
Markus Riebe	cybergeneration-u19 freestyle computing 1999	jurymember in
Digital Musics 2000	Marcus Schmickler	awarded
Laetitia Sonami	Digital Musics 1999	jurymember in
Interactive Art 2009	Julius von Bismarck	awarded
Toni Verita	Computer Animation 1988	jurymember in
